Book Name,Author,Rating,Customers_Rated,Price
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,"4,851",₹ 202.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,"6,711",₹ 215.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"48,573",₹ 159.00
Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications,4.6 out of 5 stars,"3,679",₹ 175.00
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,Harper Lee,4.5 out of 5 stars,"39,579",₹ 330.00
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.6 out of 5 stars,"9,608",₹ 186.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"7,320",₹ 196.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"3,348",₹ 170.00
How to Prepare for Verbal Ability and Reading Comprehension for CAT | 9th Edition,Arun Sharma,4.5 out of 5 stars,766,₹ 711.00
"NCERT textbooks physics, chemistry and biology class 11(5 books combo) 2019 edition",NCERT,4.1 out of 5 stars,843,₹ 759.00
Nursery Writing Books for Kids in English | 2 to 5 Years Old Children | Learn and Practice ABCD Capital and Small…,Content Team at Target Publications,4.4 out of 5 stars,448,₹ 311.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"18,851",₹ 407.00
365 Colouring Book,Dreamland Publications,4.6 out of 5 stars,"1,920",₹ 325.00
A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.3 out of 5 stars,436,₹ 278.00
Treasure Island,Robert Louis Stevenson,4.4 out of 5 stars,"6,095",₹ 99.00
Hindi Sulekh - Varanmala - Handwriting Practice Workbook for Kids 3-6 Years Old,Maple Press,4.5 out of 5 stars,381,₹ 86.00
Princess Colouring Book (Giant Book Series): Jumbo Sized Colouring Books (Giant Colouring Book Series),Wonder House Books,4.5 out of 5 stars,809,₹ 99.00
101 Dot To Dot Coloring: Fun Activity Book For Children,Wonder House Books,4.5 out of 5 stars,271,₹ 129.00
And Then There Were None: The World’s Favourite Agatha Christie Book,Agatha Christie,4.6 out of 5 stars,"13,229",₹ 177.00
